Designator,Mid X,Mid Y,Layer,Rotation
C3,107.488402,24.157201,top,180
C4,110.9615,27.8684,top,0
C5,19.324,14.1684,top,180
C6,110.9615,26.2684,top,0
C7,107.2865,27.4684,top,180
C8,19.324,12.0684,top,180
C9,70.154,39.0909,top,-90
C10,19.3162,10.0044,top,180
C11,76.8615,14.078701,top,180
C12,12.7347,12.6492,top,0
C13,80.3615,14.078701,top,0
C14,8.6067,14.0986,top,180
C15,8.6067,12.0412,top,180
C16,8.6067,10.0092,top,180
C17,8.5865,15.9684,top,180
C18,30.424,16.48602,top,90
C19,120.624,36.4684,top,-90
C20,29.4865,31.8684,top,180
C21,29.4865,29.8684,top,180
C22,113.424,29.707101,top,180
C23,109.018602,29.707101,top,0
C24,102.618902,29.707101,top,0
C25,97.386502,29.707101,top,0
C26,91.439326,29.73192,top,180
C27,85.648126,29.73192,top,0
C28,80.2651,29.73192,top,0
C29,74.522926,29.73192,top,0
C30,87.779402,12.298701,top,-90
C31,51.8392,3.4032,top,90
C32,62.0865,19.1684,top,0
C33,40.4746,2.2543,top,-90
C34,58.124,18.9684,top,180
C37,45.724,28.9684,top,-90
C38,83.8365,20.5684,top,0
C40,6.3115,72.7184,top,180
C41,6.0365,62.0184,top,0
C42,6.3115,71.1184,top,0
C43,110.624,23.9684,top,0
C44,110.624,24.9684,top,0
C46,69.5865,19.4684,top,180
C47,72.9865,19.4684,top,0
C48,19.304,15.6684,top,180
C49,8.604,17.2684,top,180
D1,71.224,7.7684,top,0
D2,30.524,2.0184,top,90
D3,32.624,2.0184,top,90
D4,56.174,2.8684,top,0
D5,35.7704,7.577796,top,90
D6,37.396,7.577896,top,90
D7,39.0216,7.577896,top,90
D8,40.6472,7.577896,top,90
D9,42.2728,7.577896,top,90
D10,43.8984,7.577896,top,90
D11,45.524,7.577896,top,90
D12,47.1496,7.577896,top,90
D13,110.0582,1.8542,top,-90
D14,6.049,66.0184,top,180
D15,6.3865,67.9184,top,180
F1,17.4086,66.2432,top,-90
F2,91.2864,64.4925,top,90
F3,86.2572,64.4925,top,90
F4,81.228,64.4925,top,90
F5,76.2496,64.4925,top,90
F6,114.6048,64.4906,top,90
F7,109.6264,64.4906,top,90
F8,104.6218,64.4906,top,90
F9,99.6218,64.52,top,90
F10,29.6593,64.4755,top,90
F11,34.6123,64.4755,top,90
F12,39.5323,64.4755,top,90
F13,44.5323,64.4755,top,90
F14,53.0738,64.389,top,90
F15,58.0268,64.389,top,90
F16,63.1068,64.389,top,90
F17,68.0598,64.389,top,90
G4,34.124,7.4684,top,-90
G10,3.374,56.9684,top,90
J1,17.574,3.5687,top,90
J2,20.144,72.112401,top,180
J3,78.605402,3.092801,top,0
J4,10.174,3.5687,top,90
J5,23.674,5.4484,top,0
J6,114.621702,72.140201,top,180
J7,91.264,72.140201,top,180
J8,48.164,2.4684,top,-90
J9,51.124,9.7684,top,0
J10,101.429402,1.808701,top,90
J11,87.9298,6.5786,top,90
J12,87.724,19.5684,top,90
J13,84.039402,13.923701,top,0
J14,90.364,23.3684,top,-90
J15,44.6918,72.136,top,180
J16,68.0598,72.136,top,180
J17,66.274,33.1584,top,0
J19,70.174,33.1684,top,0
K1,31.8183,37.4245,top,90
K2,36.6443,37.4245,top,90
K3,41.4703,37.4245,top,90
K4,46.4233,37.4245,top,90
K5,52.911,37.4245,top,90
K6,57.991,37.4245,top,90
K7,63.071,37.4245,top,90
K8,68.024,37.4245,top,90
PS1,13.78,37.4218,top,0
R1,107.500902,25.681201,top,0
R2,85.9442,2.1844,top,0
R3,75.839402,11.228701,top,90
R4,81.309402,11.208701,top,90
R5,89.629402,16.988701,top,180
R6,89.629402,15.513701,top,180
R7,28.524,2.0684,top,90
R8,34.624,2.0684,top,90
R9,91.2864,56.0069,top,-90
R10,86.2572,56.0069,top,-90
R11,81.228,56.0069,top,-90
R12,76.275,56.0069,top,-90
R13,114.6162,55.9826,top,-90
R14,109.6378,55.9826,top,-90
R15,104.5832,55.9826,top,-90
R16,99.6442,55.9328,top,-90
R17,90.271002,10.795,top,0
R18,90.271002,9.271,top,0
R19,81.228,47.9551,top,-90
R20,76.275,47.9551,top,-90
R21,91.2864,47.9551,top,-90
R22,86.2572,47.9551,top,-90
R23,114.6162,47.8546,top,-90
R24,109.6378,47.8546,top,-90
R25,104.5832,47.8506,top,-90
R26,99.6442,47.8028,top,-90
R27,113.424,31.231101,top,0
R28,109.017802,31.231101,top,0
R29,102.618902,31.231101,top,0
R30,97.386502,31.231101,top,0
R31,91.442326,31.25592,top,0
R32,85.651126,31.25592,top,0
R33,80.264426,31.2674,top,0
R34,74.524026,31.25592,top,0
R35,72.974,17.8684,top,0
R36,69.5365,17.8684,top,0
R37,62.099,16.9684,top,0
R38,58.124,16.9684,top,0
R39,61.124,31.4684,top,-90
R40,59.634,31.4684,top,-90
R41,58.124,31.4684,top,-90
R42,56.624,31.4684,top,-90
R43,55.124,31.4684,top,-90
R44,61.5719,1.0516,top,0
R45,35.7704,10.879896,top,90
R46,37.396,10.877996,top,90
R47,39.0216,10.877996,top,90
R48,40.6472,10.877996,top,90
R49,42.2728,10.877996,top,90
R50,43.8984,10.879896,top,90
R51,45.524,10.879896,top,90
R52,47.1496,10.879896,top,90
R53,108.1024,1.8542,top,90
R54,6.2615,69.5184,top,180
R55,6.074,64.0184,top,180
R56,53.624,31.4684,top,-90
R57,52.124,31.4684,top,-90
R58,50.574,31.4684,top,-90
R60,67.1115,18.5309,top,-90
R61,65.124,18.5559,top,90
R62,63.707144,14.386341,top,90
RV1,9.874,57.00533,top,0
SW1,23.834,14.2984,top,180
SW2,68.771,13.1184,top,0
SW3,68.7698,3.9158,top,0
U1,13.2427,17.7292,top,0
U2,78.609402,11.238701,top,90
U3,102.979402,13.598701,top,-90
U4,115.513178,41.232282,top,-90
U5,103.829178,41.232282,top,-90
U6,92.3813,41.2288,top,-90
U7,81.2053,41.2288,top,-90
U8,90.389402,12.605101,top,180
U9,69.9365,24.3934,top,180
U10,61.9865,3.5916,top,180
U11,38.044,27.3184,top,90
U12,60.2615,24.3934,top,180
U14,53.774,15.4184,top,0
